Author,Genre,Pages,Score,Title,Year
Michael R. Gordon,"History,War,Military Fiction,Nonfiction,Military,Military History,War,Politics",640,3.95,Cobra II: The Inside Story of the Invasion and Occupation of Iraq,2006
David Baldacci,"Thriller,Fiction,Mystery,Suspense",401,4.09,The Hit,2013
Magdalena Hai,"Science Fiction,Steampunk,Fantasy,Young Adult,European Literature,Finnish Literature,Science Fiction",180,3.49,Kerjäläisprinsessa,2012
Blake Crouch,"Horror,Thriller,Fiction,Short Stories",70,3.82,Bad Girl: Prequel to Serial,2010
Gene  Stone,"Health,Food and Drink,Cookbooks,Nonfiction,Food and Drink,Food,Food and Drink,Vegan,Food and Drink,Cooking,Health,Nutrition",214,4.08,Forks Over Knives: The Plant-Based Way to Health,2011
Linda Castillo,"Mystery,Fiction,Thriller,Amish,Mystery,Crime",320,4.15,The Dead Will Tell,2014
John Ferak,"Crime,True Crime,Nonfiction",238,3.67,Body of Proof: Tainted Evidence In The Murder Of Jessica O'Grady?,2015
Will McIntosh,"Science Fiction,Fiction,Romance,Science Fiction,Dystopia",432,3.81,Love Minus Eighty,2013
Tayari Jones,"Fiction,Historical,Historical Fiction,Cultural,African American",352,3.86,Silver Sparrow,2011
John Crowley,Fiction,93,4.26,The Girlhood of Shakespeare's Heroines,2005
John Lanchester,"Economics,Nonfiction,Economics,Finance,Business,Politics,History,Culture,Society,Writing,Journalism,Currency,Money,Literature,21st Century",256,3.99,Whoops! Why Everyone Owes Everyone and No One Can Pay,2010
Sharon Shinn,"Fantasy,Young Adult,Romance,Fiction,Fantasy,High Fantasy,Fantasy,Magic",342,4.03,Summers at Castle Auburn,2002
Magdalena Hai,"Science Fiction,Steampunk,Young Adult,Science Fiction,Fiction,European Literature,Finnish Literature,Fantasy",330,3.99,Kellopelikuningas,2013
Sidney Sheldon,"Fiction,Thriller,Mystery,Suspense",401,3.66,Are You Afraid of the Dark?,2005
Pierce Brown,"Science Fiction,Fantasy,Fiction,Science Fiction,Dystopia,Young Adult",544,4.49,Morning Star,2016
Sara Wheeler,"Travel,Nonfiction,Science,Environment,Nature,Environment,History",354,3.72,The Magnetic North: Notes From The Arctic Circle,2011
J.A. Konrath,"Mystery,Thriller,Horror,Mystery,Crime,Fiction",504,4.06,Stirred,2011
Gendün Chöphel,"Nonfiction,Travel,History,Cultural,India,Religion,Buddhism",456,4.55,Grains of Gold: Tales of a Cosmopolitan Traveler,2014
Vanessa Garden,"Fantasy,Young Adult,Romance,Mythology,Mermaids",284,3.99,Impulse,2014
Jane Costello,"Womens Fiction,Chick Lit,Romance,Fiction,Romance,Contemporary Romance",419,3.89,My Single Friend,2010
Lewis Buzbee,"Young Adult,Fiction,Childrens,Middle Grade,Mystery,Fantasy,Childrens,Juvenile",352,3.63,Steinbeck's Ghost,2008
Scott McElhaney,"Fantasy,Science Fiction,Time Travel,Science Fiction,Mystery",132,3.73,Talking To The Moon,2011
John W. Dean,"History,Nonfiction,Politics,Biography,North American Hi...,American History,Politics,Presidents,Presidents,Us Presidents,Mystery,Crime,Crime,True Crime,Autobiography,Memoir",769,3.89,The Nixon Defense: What He Knew and When He Knew It,2014
Sue Grafton,"Mystery,Fiction,Mystery,Crime",403,3.92,X,2015
James S.A. Corey,"Science Fiction,Fiction,Space,Space Opera",581,4.17,Cibola Burn,2014
Elizabeth  George,"Mystery,Fiction,Mystery,Crime",560,3.56,What Came Before He Shot Her,2006
Linda Grant,"Fiction,Historical,Historical Fiction,Literature,Literary Fiction,Contemporary",345,3.48,We Had It So Good,2010
Alison Bechdel,"Sequential Art,Graphic Novels,Autobiography,Memoir,Sequential Art,Comics,Nonfiction,LGBT,GLBT,Queer",290,3.69,Are You My Mother? A Comic Drama,2012
Andrew  Smith,"Young Adult,Contemporary,Realistic Fiction,Humor,Fiction",439,4.05,Winger,2013
Camilla Läckberg,"Mystery,Mystery,Crime,Fiction,Thriller,European Literature,Scandinavian Literature",475,3.88,Stenhuggeren,2007
Blake Crouch,"Science Fiction,Thriller,Fiction,Horror,Mystery",308,4.09,The Last Town,2014
James Patrick Kelly,"Science Fiction,Short Stories,Fantasy,Anthologies",335,3.58,Nebula Awards Showcase 2012,2012
Philip Moeller,Plays,40,3.14,Helena's Husband: A One Act Play,2013
Dubravka Ugrešić,"Nonfiction,Writing,Essays,Writing,Books About Books,Literature,Criticism,Literary Criticism",220,3.91,Thank You for Not Reading,2003
Sofia Samatar,"Fantasy,Fiction,Science Fiction Fantasy,Writing,Books About Books",299,3.68,A Stranger in Olondria,2013
Alex Archer,"Fantasy,Fiction,Fantasy,Urban Fantasy,Adventure,Action",320,3.67,The Golden Elephant,2008
Dorothy Koomson,"Womens Fiction,Chick Lit,Fiction,Romance,Contemporary,Drama,Adult,Family,Womens Fiction,Adult Fiction,Novels",437,4.04,My Best Friend's Girl,2006
Pittacus Lore,"Young Adult,Fantasy,Science Fiction",416,4.23,The Fall of Five,2013
Barry Lyga,"Young Adult,Mystery,Thriller,Horror,Mystery,Crime",359,4.01,I Hunt Killers,2012
Douglas Brunt,"Fiction,Contemporary,Economics,Finance",288,3.4,Ghosts of Manhattan,2012
Lindsay McKenna,"Romance,War,Military Fiction,Romance,Romantic Suspense,Contemporary,Romance,Contemporary Romance,Suspense,Fiction,Adventure",384,4.01,Down Range,2013
Alison Hackett,"Science Fiction,Time Travel,Sequential Art,Graphic Novels",240,4.67,"The Visual Time Traveller: 500 Years of History, Art and Science in 100 Unique Designs",2013
James Webb,"History,Nonfiction,North American Hi...,American History,Cultural,Scotland,Historical",400,3.81,Born Fighting: How the Scots-Irish Shaped America,2005
Rashmi Bansal,"Nonfiction,Business,Entrepreneurship,Business,Self Help",341,3.69,I have a Dream,2011
Mel Odom,"Fantasy,Science Fiction,Fiction,Horror",480,3.91,Exodus,2007
Eliot Schrefer,"Fiction,Womens Fiction,Chick Lit",352,3.26,Glamorous Disasters,2007
Peter Carey,"Fiction,Historical,Historical Fiction,Historical,Literary Fiction",464,3.43,Parrot and Olivier in America,2009
Cressida Cowell,"Fantasy,Fantasy,Dragons,Childrens,Childrens,Middle Grade,Fiction",214,3.89,How to Train Your Dragon,2004
Hanne Blank,"History,Nonfiction,Sexuality,Sociology,GLBT,Queer,LGBT",228,3.74,Straight: The Surprisingly Short History Of Heterosexuality,2012
Ivy Blossom,"Fan Fiction,Romance,M M Romance",155,4.33,The Progress of Sherlock Holmes,2011
Saul David,"History,Cultural,India,Nonfiction,Military,Military History,War,Literature,19th Century,War,Military Fiction,European Literature,British Literature,Cultural,Asia",544,3.96,The Indian Mutiny,2003
Bernard Cornwell,"Historical,Historical Fiction,Fiction,Historical,Historical,Medieval",400,4.09,1356,2012
