Author,Genre,Pages,Score,Title,Year
Roxane Gay,"Nonfiction,Autobiography,Memoir,Feminism,Audiobook",320,4.19,Hunger: A Memoir of (My) Body,2017
James Smythe,"Science Fiction,Fiction,Speculative Fiction,Science Fiction Fantasy,Artificial Intelligence,Adult,Novels,Futuristic,Adult Fiction,Audiobook",400,3.96,I Still Dream,2018
Amitav Ghosh,"Nonfiction,Environment,Climate Change,Science,Environment,Politics,History",196,4.11,The Great Derangement: Climate Change and the Unthinkable,2016
Bill Watterson,"Sequential Art,Comics,Sequential Art,Graphic Novels,Humor,Fiction",143,4.76,"The Complete Calvin & Hobbes, Volume 2",2012
Christopher A. Snyder,"Nonfiction,Biography,History",337,4.12,The Making of Middle-Earth: A New Look Inside the World of J.R.R. Tolkien,2013
John P. Grotzinger,"Science,Geology,Science,Nonfiction,Textbooks,Science,Geography,Science,Earth Sciences,Environment,Nature",672,3.94,Understanding Earth,2006
Charles Martin,"Fiction,Christian Fiction,Romance,Contemporary",368,4.4,Water from My Heart,2015
Scott McElhaney,"Science Fiction,Anthologies,Collections",117,3.83,Judgment,2012
Louis Maistros,"Fiction,Historical,Historical Fiction,Horror,Fantasy,Magical Realism",358,3.97,The Sound of Building Coffins,2009
David Nicholls,"Fiction,Contemporary,Humor,Romance",338,3.6,Starter for Ten,2007
Elizabeth Gilbert,"Nonfiction,Self Help,Language,Writing,Audiobook",288,3.92,Big Magic: Creative Living Beyond Fear,2015
Jean Rolin,"Fiction,Cultural,France,Cultural,Africa",168,3.62,The Explosion of the Radiator Hose,2011
Peter Wohlleben,"Nonfiction,Science,Environment,Nature,Environment,Science,Biology,Audiobook,Biology,Ecology,Science,Natural History,Nature,Plants,Science Nature",288,4.06,"The Hidden Life of Trees: What They Feel, How They Communicate – Discoveries from a Secret World",2016
Natasha Solomons,"Historical,Historical Fiction,Fiction,Romance,Historical,War,World War II,European Literature,British Literature",400,3.78,The Novel in the Viola,2011
David Ashton,"Mystery,Crime,Fiction,Historical,Historical Fiction,Mystery,Historical Mystery,Cultural,Scotland",300,3.92,Fall From Grace,2007
Dick Wolf,"Thriller,Fiction,Mystery,Suspense,Mystery,Crime",387,3.84,The Intercept,2012
James Bowen,"Nonfiction,Animals,Biography,Animals,Cats,Autobiography,Memoir",279,3.97,A Street Cat Named Bob: How One Man and His Cat Found Hope on the Streets,2012
Jan Karon,"Fiction,Christian Fiction,Christian",450,4.32,To Be Where You Are,2017
Edward O. Wilson,"Science,Nonfiction,History,Biology,Evolution,Science,Biology,Philosophy,Anthropology,Sociology,Psychology,Environment,Nature",352,3.92,The Social Conquest of Earth,2012
Heather Butler,"Death,Childrens",304,4.13,Us Minus Mum,2014
Ian  Hamilton,"Mystery,Fiction,Thriller,Cultural,Canada,Mystery,Crime,Adventure",326,4.06,The Two Sisters of Borneo,2014
Dougie Brimson,"Football,History",224,3.49,March of the Hooligans,2007
Lisa McMann,"Fantasy,Childrens,Middle Grade,Young Adult,Science Fiction,Dystopia,Fiction,Fantasy,Magic",390,4.11,The Unwanteds,2011
Philip Caputo,"Fiction,Cultural,Africa,Historical,Historical Fiction,Northern Africa,Sudan,War",688,3.93,Acts of Faith,2006
Sofi Oksanen,"Fiction,European Literature,Finnish Literature,Historical,Historical Fiction,Contemporary",441,3.63,Stalins kossor,2010
Peter Handke,"Fiction,Fantasy",480,3.54,Crossing the Sierra de Gredos,2007
Irfan Master,"Historical,Historical Fiction,Cultural,India,Young Adult",321,3.83,A Beautiful Lie,2013
Derek Walcott,"Plays,Poetry",448,3.87,"The Haitian Trilogy: Plays: Henri Christophe, Drums and Colours, and The Haytian Earth",2002
Steven Erikson,"Fantasy,Fantasy,Epic Fantasy,Fiction,Fantasy,High Fantasy",1232,4.44,The Bonehunters,2007
Samantha Shannon,"Fantasy,Young Adult,Science Fiction,Dystopia,Fiction",510,4.19,The Mime Order,2015
Wesley Stace,"Fiction,Historical,Historical Fiction,Young Adult,Coming Of Age,Magical Realism,Novels",400,3.69,by George: A Novel,2008
Carolyn Meyer,"Historical,Historical Fiction,Young Adult,Historical,Fiction",261,3.69,Duchessina: A Novel of Catherine de' Medici,2007
Ransom Riggs,"Fantasy,Young Adult,Fiction",458,4.14,Library of Souls,2015
Jonas Karlsson,"Fiction,Contemporary,Magical Realism,Fantasy,Novels",190,3.55,The Room,2015
Megan Mayhew Bergman,"Short Stories,Historical,Historical Fiction,Fiction,Feminism,Womens",5,3.48,Almost Famous Women: Stories,2015
Pittacus Lore,"Young Adult,Fantasy,Science Fiction",449,4.31,United as One,2016
John Crowley,"Fiction,Historical,Historical Fiction,War,World War II,Literature,21st Century",400,3.61,Four Freedoms,2009
Wilt L. Idema,"History,Cultural,China,Poetry,Nonfiction,Cultural",960,3.82,The Red Brush: Writing Women of Imperial China,2004
Yvonne Vera,"Fiction,Cultural,Africa,Eastern Africa,Zimbabwe,Literature,Historical,Historical Fiction,Literature,African Literature",192,3.65,The Stone Virgins,2004
Erin Entrada Kelly,"Childrens,Middle Grade,Realistic Fiction,Music,Contemporary,Cultural,Young Adult",296,4.17,Blackbird Fly,2015
Jude Morgan,"Historical,Historical Fiction,Fiction,Historical,Romance,Poetry",536,3.94,Passion: A Novel of the Romantic Poets,2006
Christian Rudder,"Nonfiction,Science,Psychology,Sociology,Science,Technology,Business",304,3.74,Dataclysm: Who We Are (When We Think No One's Looking),2014
John Ferak,"Crime,True Crime,Nonfiction,Mystery,Crime",109,3.75,Dixie's Last Stand: Was It Murder or Self-Defense?,2015
Tzeporah Berman,"Nonfiction,Business,Environment,Nature",384,4.41,This Crazy Time: Living Our Environmental Challenge,2011
Jane Green,"Womens Fiction,Chick Lit,Fiction,Romance,Contemporary,Romance,Contemporary Romance,Adult,Adult Fiction,Humor,European Literature,British Literature,Womens Fiction",368,3.45,Mr. Maybe,2002
Brian K. Vaughan,"Sequential Art,Graphic Novels,Sequential Art,Comics,Fantasy,Science Fiction,Fiction,Graphic Novels Comics",152,4.43,"Saga, Vol. 5",2015
Hannu Rajaniemi,"Science Fiction,Fiction,Science Fiction,Cyberpunk",292,4.21,The Causal Angel,2014
Susan Vreeland,"Historical,Historical Fiction,Art,Fiction,Cultural,France,Historical,Art,Art History,Literature,19th Century,Novels,Book Club,Audiobook",17,3.69,Luncheon of the Boating Party,2007
Amy A. Bartol,"Fantasy,Young Adult,Romance,Science Fiction",296,4.21,Under Different Stars,2014
Stephanie Dray,"Historical,Historical Fiction,Cultural,Italy,Short Stories,Fiction,Historical",315,4.14,A Day of Fire: A Novel of Pompeii,2014
Edward Dolnick,"History,Nonfiction,Travel,Adventure,North American Hi...,American History,Biography",400,3.98,Down the Great Unknown: John Wesley Powell's 1869 Journey of Discovery and Tragedy Through the Grand Canyon,2002
Paul Kidd,Action,376,4.56,GeneStorm: City in the Sky,2015
Hélène Gestern,"Fiction,Cultural,France,Mystery,Historical,Historical Fiction",270,3.83,The People in the Photo,2014
E. Journey,"Romance,Romance,Contemporary Romance,Romance,Clean Romance",318,4.06,"Welcome, Reluctant Stranger",2015
Richard Grant,"Travel,Nonfiction,Adventure,Autobiography,Memoir",288,3.96,God's Middle Finger: Into the Lawless Heart of the Sierra Madre,2008
Robin Hobb,"Fantasy,Fiction,Fantasy,Epic Fantasy,Fantasy,High Fantasy",706,4.37,Fool's Assassin,2014
Charlaine Harris,"Mystery,Fiction,Mystery,Cozy Mystery",256,3.86,Poppy Done to Death,2004
Orville J. Nave,"Religion,Christianity,Biblical,Religion",1615,4.33,Nave's Topical Bible,2014
Alexander McCall Smith,"Mystery,Fiction,Cultural,Scotland,Philosophy",272,3.36,The Sunday Philosophy Club,2005
Melina Marchetta,"Young Adult,Contemporary,Health,Mental Health,Fiction,Young Adult,Young Adult Contemporary,Audiobook",243,3.97,Saving Francesca,2006
Holly Black,"Young Adult,Fantasy,Paranormal,Vampires,Fantasy,Paranormal,Horror,Fantasy,Urban Fantasy",419,3.85,The Coldest Girl in Coldtown,2013
Georgia Byng,"Fantasy,Childrens,Fiction,Childrens,Middle Grade",416,3.93,Molly Moon Stops the World,2005
Ian  Hamilton,"Mystery,Thriller,Fiction,Cultural,Canada,Mystery,Crime,Adventure,Cultural,Asia,Thriller,Mystery Thriller,LGBT,Suspense",437,4.04,The Scottish Banker of Surabaya,2013
Bernardo Carvalho,"Romance,Fiction",192,3.7,Mongólia,2003
Dougie Brimson,"Sports,Sports,Nonfiction,Football",306,3.41,Eurotrashed,2003
Erin Hunter,"Fantasy,Animals,Childrens,Middle Grade",352,4.42,The Apprentice's Quest,2016
Jón Kalman Stefánsson,"Fiction,European Literature,Scandinavian Literature",407,3.89,Fisk har ingen fødder,2015
Caryl Churchill,"Plays,Drama,Plays,Theatre,Academic,School",96,3.88,Love and Information,2012
Neil Gaiman,"Fantasy,Fiction,Fantasy,Mythology,Childrens,Young Adult,Childrens,Middle Grade",128,3.98,Odd and the Frost Giants,2009
Steven Erikson,Fantasy,960,4.37,Midnight Tides,2005
Valeria Luiselli,"Fiction,Contemporary",148,3.7,Faces in the Crowd,2012
Alex Capus,"Fiction,Historical,Historical Fiction,European Literature,German Literature,Cultural,Africa",304,3.98,Eine Frage der Zeit,2009
Lemony Snicket,"Mystery,Fiction,Childrens,Middle Grade,Childrens,Young Adult",258,3.84,Who Could That Be at This Hour?,2012
Carolyn Meyer,"Historical,Historical Fiction,Young Adult,Historical,Fiction,Cultural,France,Young Adult,Teen,Romance,European History,French Revolution,Literature,18th Century,Young Adult,Young Adult Historical Fiction",420,3.95,The Bad Queen: Rules and Instructions for Marie-Antoinette,2010
Louise Doughty,"Historical,Historical Fiction,Fiction,War,World War II,War,World War II,Holocaust",481,4.02,Fires in the Dark,2005
Mahmoud Dowlatabadi,"Fiction,Cultural,Iran,Literature,Historical,Historical Fiction,Novels",243,3.78,The Colonel,2011
T.A. Barron,"Fantasy,Young Adult,Fiction,Fantasy,Magic",384,4.06,Child of the Dark Prophecy,2005
Cavan Scott,"Media Tie In,Doctor Who,Nonfiction,Reference",384,4.26,Doctor Who: Who-ology,2013
Claudia Gray,"Young Adult,Science Fiction,Fantasy,Romance",368,3.91,A Thousand Pieces of You,2014
Manda Scott,"Historical,Historical Fiction,Historical,Fiction,Fantasy",512,4.38,Dreaming the Serpent Spear,2006
Adrian Stone,"Fantasy,Fantasy,High Fantasy",351,3.89,De Achtste Rune,2011
Christopher Brookmyre,"Mystery,Crime,Fiction,Humor,Mystery,Cultural,Scotland",352,4.04,Attack Of The Unsinkable Rubber Ducks,2007
Paul Kidd,Fantasy,292,5,Dreamscape,2007
Suzanne Collins,"Fantasy,Young Adult,Fiction,Childrens,Middle Grade,Adventure",412,4.27,Gregor and the Code of Claw,2007
Barbara Caine,"Literature,21st Century,Nonfiction,Reference,Research,History",436,3.83,Friendship: A History,2010
Anya von Bremzen,"Nonfiction,Autobiography,Memoir,Food and Drink,Food,Cultural,Russia,History,Food and Drink,Cookbooks,Food and Drink,Cooking",339,3.97,Mastering the Art of Soviet Cooking: A Memoir of Food and Longing,2013
Alex von Tunzelmann,"History,Cultural,India,Nonfiction,Politics,Historical,Cultural,Asia,Cultural,Pakistan,Biography,Asian Literature,Indian Literature,European Literature,British Literature",480,4.03,Indian Summer: The Secret History of the End of an Empire,2008
Kate DiCamillo,"Fiction,Young Adult,Childrens,Middle Grade,Childrens,Realistic Fiction,Animals,Childrens,Juvenile,Fantasy,Academic,School,Contemporary",128,3.82,The Tiger Rising,2002
Ryan Boudinot,"Science Fiction,Fiction,Science Fiction,Dystopia,Fantasy",305,3.69,Blueprints Of The Afterlife,2012
Ed Brubaker,"Sequential Art,Comics,Sequential Art,Graphic Novels,Superheroes,Marvel,Comics,Superheroes,Comics,Comic Book,Historical,Historical Fiction,Fiction",224,3.86,The Marvels Project: Birth of the Super Heroes,2011
Shelli Johnson,"Health,Mental Health",208,4.18,Small As A Mustard Seed,2003
Stephenie Meyer,"Fantasy,Young Adult,Paranormal,Vampires,Romance,Fantasy,Paranormal",2752,4.34,The Twilight Saga Complete Collection,2010
Julia Quinn,"Romance,Historical Romance,Romance,Historical,Historical,Historical Fiction,Historical,Regency,Fiction,Historical Romance,Regency Romance,Adult,Womens Fiction,Chick Lit,European Literature,British Literature",358,4.07,An Offer From a Gentleman,2001
Perri O'Shaughnessy,"Mystery,Fiction,Thriller",352,3.66,Dreams of the Dead,2011
Rob Nixon,"Environment,Nonfiction,Politics,Academic,Biology,Ecology",353,4.35,Slow Violence and the Environmentalism of the Poor,2011
Alex Archer,"Fantasy,Adventure,Fiction,Fantasy,Urban Fantasy,Action",346,3.8,Warrior Spirit,2007
C.S. Woolley,,311,4.6,Lady of Fire,2012
Cara Lynn Shultz,"Young Adult,Fantasy,Paranormal,Fantasy,Romance,Paranormal,Witches,Fantasy,Magic",341,3.88,Spellbound,2011
Elena Sandidge,,118,4.5,A Gentleman in Hell,2013
Quinn Loftis,"Fantasy,Young Adult,Romance,Fantasy,Paranormal,Fairies,Fae",389,4.1,Elfin,2012
The RZA,"Music,Nonfiction,Music,Hip Hop,Biography,Philosophy",256,4.08,The Wu-Tang Manual,2005
Meredith Hooper,"Science,Animals,Birds,Animals,Nonfiction,Environment,Nature,Science,Natural History",300,3.8,The Ferocious Summer: Adelie Penguins and the Warming of Antarctica,2008
Jacqueline Novogratz,"Nonfiction,Cultural,Africa,Autobiography,Memoir,Economics,Social Movements,Social Justice,Biography",304,3.98,The Blue Sweater: Bridging the Gap Between Rich and Poor in an Interconnected World,2009
Gerbrand Bakker,"Fiction,European Literature,Dutch Literature,Literature",256,3.86,The Twin,2008
Oriana Fallaci,"Nonfiction,Politics,Religion,Religion,Islam",307,3.95,The Force of Reason,2006
Babe Walker,"Womens Fiction,Chick Lit,Humor,Fiction",288,3.74,White Girl Problems,2012
Stephen King,"Horror,Short Stories,Fiction",605,3.97,Everything's Eventual,2005
Jane Yolen,"Fantasy,Young Adult,Mythology,Arthurian,Historical,Historical Fiction",384,3.71,Sword of the Rightful King,2004
Catherine Anderson,"Romance,Romance,Contemporary Romance,Contemporary,Westerns",456,4.18,Sweet Nothings,2007
Byron Goines,,24,4.5,End-Time Gangster,2012
Ben Elton,"Fiction,Humor,Humor,Comedy",384,3.54,Chart Throb,2007
Simone Lenaerts,Fiction,415,3.59,"Zeewater is zout, zeggen ze",2008
Andy McNab,"Young Adult,Action,Thriller,Fiction,Adventure,Mystery,Adult,Adventure,Survival,Spy Thriller,Espionage,Family",288,3.87,Traitor,2006
Mel Odom,"Fantasy,Science Fiction,Fiction,Fantasy,Urban Fantasy",446,4.04,Covenant,2008
Eric Grounds,,160,4.17,The Bedside Book of Final Words,2014
Tony DiTerlizzi,"Fantasy,Childrens,Childrens,Middle Grade,Fiction,Young Adult",114,3.93,The Ironwood Tree,2004
Tony DiTerlizzi,"Fantasy,Childrens,Childrens,Middle Grade,Fiction,Young Adult",146,3.94,The Wrath of Mulgarath,2004
Kate Bornstein,"Nonfiction,GLBT,Queer,LGBT,Gender,Feminism,LGBT,Transgender",304,4.08,Gender Outlaws: The Next Generation,2010
Chetan Bhagat,"Fiction,Asian Literature,Indian Literature,Cultural,India",258,3.01,The 3 Mistakes of My Life,2008
Sarah J. Maas,"Fantasy,Young Adult,Short Stories,Novella",70,4.24,The Assassin and the Pirate Lord,2012
Niall Ferguson,"History,Nonfiction,Politics,Economics",422,3.9,Empire: How Britain Made the Modern World,2003
Catherine Asaro,"Science Fiction,Fantasy,Fiction,Anthologies,Short Stories",390,3.8,Nebula Awards Showcase 2013,2013
Nicolas Dickner,"Fiction,Cultural,Canada,Roman",249,3.52,Tarmac -  Apokalypse für Anfänger,2013
C.S. Woolley,Mystery,174,4.13,The Kevin Metis Saga,2010
Alex Archer,"Fantasy,Adventure,Fiction,Fantasy,Urban Fantasy,Mystery",320,3.74,Polar Quest,2009
Piper Kerman,"Nonfiction,Autobiography,Memoir,Biography,Audiobook",298,3.71,Orange Is the New Black,2010
Ron Currie Jr.,"Fiction,Science Fiction,Novels",320,4.05,Everything Matters!,2009
Barry Lyga,"Young Adult,Mystery,Thriller,Horror,Mystery,Crime",520,4.22,Game,2013
Chuck Hogan,"Mystery,Fiction,Thriller,Mystery,Crime,Thriller,Mystery Thriller",368,3.46,The Killing Moon,2007
Janet Chapman,"Romance,Fantasy,Paranormal,Romance,Paranormal Romance,Contemporary,Fantasy,Magic,Fantasy",319,4.26,Charmed By His Love,2012
Benjamin  Daniels,"Nonfiction,Medical,Biography,Health,Medicine,Humor,Autobiography,Memoir",374,3.67,Confessions of a GP (The Confessions Series),2012
Claude A. Piantadosi,"Science,History,Nonfiction,Space",336,3.95,"Mankind Beyond Earth: The History, Science, and Future of Human Space Exploration",2013
Theodore Dalrymple,"Nonfiction,Writing,Essays,Politics,Philosophy,Cultural,Sociology",341,4.12,"Our Culture, What's Left of It: The Mandarins and the Masses",2007
Mira Grant,"Horror,Science Fiction,Fiction,Adult",504,3.66,Parasite,2013
Charlie Higson,"Horror,Zombies,Horror,Young Adult,Science Fiction,Dystopia",406,4.09,The Enemy,2009
Anita Bhogle,"Business,Nonfiction,Sports,Sports,Business,Management,Self Help",196,3.7,The Winning Way: Learnings from sport for managers,2011
James Patterson,"Fantasy,Young Adult,Fantasy,Magic",314,3.56,Witch & Wizard,2009
Jeffrey Overstreet,"Fantasy,Fiction,Young Adult,Christian,Christian Fiction,Christian Fiction,Christian Fantasy,Fantasy,Magic,Fantasy,High Fantasy,Fantasy,Epic Fantasy,Science Fiction Fantasy",334,3.65,Auralia's Colors,2007
Julie Anne Peters,"Young Adult,LGBT,Fiction,Contemporary,GLBT,Queer",232,3.91,Between Mom and Jo,2006
Ken Kalfus,"Fiction,Novels",256,3.02,A Disorder Peculiar to the Country,2006
Kate O'Hearn,"Fantasy,Fantasy,Mythology,Childrens,Middle Grade",372,4.46,Pegasus and the New Olympians,2012
David Baldacci,"Thriller,Fiction,Mystery,Suspense,Mystery,Crime",606,4.04,The Camel Club,2006
Susan Wise Bauer,"Education,Nonfiction,Writing,Books About Books,Reference,Self Help,Philosophy,Literature,Language,Writing,Parenting,Classics",432,3.98,The Well-Educated Mind: A Guide to the Classical Education You Never Had,2003
Steven Pressfield,"Historical,Historical Fiction,Fiction,Historical,Fantasy",400,3.75,Last of the Amazons,2003
Nick Cole,"Apocalyptic,Post Apocalyptic,Science Fiction,Science Fiction,Dystopia",200,4.35,The Road is a River,2013
Анна Борисова,"Cultural,Russia,History,Modern",480,4.17,Vremena goda,2011
Jo Walton,"Nonfiction,Writing,Books About Books,Writing,Essays,Language,Writing",446,3.89,What Makes This Book So Great,2014
Kevin M. Sullivan,"Crime,True Crime,Nonfiction",97,3.74,Vampire: The Richard Chase Murders,2012
Gabor Maté,"Nonfiction,Psychology,Health,Science,Health,Mental Health",480,4.48,In the Realm of Hungry Ghosts: Close Encounters with Addiction,2008
James Lileks,"Humor,Food and Drink,Food,Nonfiction,Food and Drink,Cooking,History,Food and Drink,Cookbooks",192,4.11,The Gallery of Regrettable Food: Highlights from Classic American Recipe Books,2001
Elizabeth   Green,"Education,Nonfiction,Teaching,Parenting,Academic,School",384,3.77,Building a Better Teacher: How Teaching Works (and How to Teach It to Everyone),2014
Jill Mansell,"Womens Fiction,Chick Lit,Romance,Fiction,Romance,Contemporary Romance",448,3.76,Nadia Knows Best,2003
Robert H. Lustig,"Nonfiction,Health,Food and Drink,Food,Science,Health,Nutrition,Self Help",320,4.15,"Fat Chance: Beating the Odds Against Sugar, Processed Food, Obesity, and Disease",2012
Peter Hessler,"Cultural,China,Travel,Autobiography,Memoir,Nonfiction,Cultural,Asia,Biography",432,4.22,River Town: Two Years on the Yangtze,2006
Mary E. Pearson,"Fantasy,Young Adult,Romance,Young Adult,Young Adult Fantasy,Fiction,Fantasy,High Fantasy,Fantasy,Magic,Adventure,Audiobook,Science Fiction,Dystopia",492,4.02,The Kiss of Deception,2014
Andy Oram,"Computer Science,Programming,Nonfiction,Computer Science,Software,Science,Computer Science,Science,Technology,Computer Science,Technical,Computer Science,Computers,Computer Science,Coding,Reference,Pop Culture,Geek",563,3.76,Beautiful Code: Leading Programmers Explain How They Think,2007
M.C. Scott,"Historical,Historical Fiction,Historical,Fiction",411,4.07,Rome: The Coming of the King,2011
Franny Moyle,"Biography,Nonfiction,History",384,3.76,Constance: The Tragic and Scandalous Life of Mrs. Oscar Wilde,2011
Jasmine Warga,"Young Adult,Contemporary,Romance,Health,Mental Health,Fiction",320,3.99,My Heart and Other Black Holes,2015
Amitav Ghosh,"Fiction,Cultural,India,Asian Literature,Indian Literature,Historical,Historical Fiction",333,3.95,The Hungry Tide,2006
Jim Crace,"Fiction,Historical,Historical Fiction,Literary Fiction,European Literature,British Literature,Literature,Historical",208,3.61,Harvest,2013
Ben Macintyre,"History,Nonfiction,War,World War II,Spy Thriller,Espionage,War",417,3.92,Double Cross: The True Story of the D-Day Spies,2013
Paul Kidd,"Fantasy,Speculative Fiction,Animals,Anthropomorphic",332,3.57,Petal Storm,2011
Sophie Flack,"Young Adult,Contemporary,Fiction,Romance",294,3.73,Bunheads,2011
Michael Cunningham,"Fiction,Audiobook,Contemporary,Literary Fiction",258,3.06,The Snow Queen,2014
Kate O'Hearn,"Fantasy,Fantasy,Mythology,Childrens,Middle Grade,Young Adult,Adventure,Childrens,Fiction,Fantasy,Magic,Animals,Animals,Horses",385,4.26,The Flame of Olympus,2013
Kevin J. Anderson,"Fantasy,Science Fiction,Steampunk,Fiction,Science Fiction,Adventure",315,3.67,Clockwork Angels,2012
Robert D. Lupton,"Nonfiction,Christian,Religion,Religion,Christianity,Social Movements,Social Justice,Religion,Theology,Religion,Faith,Social Issues,Poverty,Religion,Church,Social Issues",208,3.96,Toxic Charity: How Churches and Charities Hurt Those They Help (And How to Reverse It),2011
Karen   White,"Fiction,Womens Fiction,Chick Lit,Mystery,Romance",416,3.87,Sea Change,2012
Tina Folsom,"Fantasy,Paranormal,Paranormal,Vampires,Romance,Paranormal Romance,Romance,Fantasy",992,4.5,Scanguards Vampires Books 1-3,2011
Gail Carriger,"Science Fiction,Steampunk,Fantasy,Romance,Paranormal,Vampires,Fantasy,Paranormal,Fantasy,Urban Fantasy",1921,4.42,"The Parasol Protectorate Boxed Set: Soulless, Changeless, Blameless, Heartless and Timeless",2012
Nick Vujicic,"Nonfiction,Christian",176,4.21,Limitless: Devotions for a Ridiculously Good Life,2013
C.S. Woolley,,48,4.67,Standing by the Watchtower: Volume 1,2013
Alex Archer,"Fantasy,Adventure,Fiction,Fantasy,Urban Fantasy,Action",348,3.83,Serpent's Kiss,2008
Lesléa Newman,"Poetry,Young Adult,LGBT",111,4.15,October Mourning: A Song for Matthew Shepard,2012
John       Howard,"Biography,Nonfiction,Politics,History",711,3.78,Lazarus Rising,2010
Gena Showalter,"Young Adult,Horror,Zombies,Fantasy,Fantasy,Paranormal,Romance",404,4.04,Alice in Zombieland,2012
Larry Smith,"Nonfiction,Autobiography,Memoir,Biography,Short Stories,Poetry,Humor",256,3.9,"Not Quite What I Was Planning, Revised and Expanded Deluxe Edition: Six-Word Memoirs by Writers Famous and Obscure",2008
Una LaMarche,"Young Adult,Romance,Contemporary,Fiction,Realistic Fiction,Family",368,3.71,Like No Other,2014
Sherrie R. Cronin,"Fantasy,Science Fiction,Mystery,Fiction",350,3.93,y1,2012
Quinn Loftis,"Fantasy,Paranormal,Young Adult,Shapeshifters,Werewolves,Fantasy,Romance",230,4.04,Prince of Wolves,2011
Nathan Erez,,259,3.63,Šifra podle kabaly,2008
Sara Zarr,"Young Adult,Contemporary,Realistic Fiction,Fiction,Romance,Young Adult,Teen",341,3.89,How to Save a Life,2011
Joe Abercrombie,"Fantasy,Science Fiction Fantasy",3008,4.7,The Collected Joe Abercrombie: The Blade Itself/Before they are Hanged/Last Argument of Kings/Best Served Cold/The Heroes/Red Country,2013
Philip Yancey,"Christian,Nonfiction,Religion,Religion,Christianity,Religion,Faith,Spirituality",352,4.21,Soul Survivor: How Thirteen Unlikely Mentors Helped My Faith Survive the Church,2003
Robin    Black,"Short Stories,Fiction,Contemporary,Adult Fiction",268,3.76,If I Loved You I Would Tell You This,2010
Jack Campbell,"Science Fiction,Space,Space Opera,Fiction,War,Military Fiction",293,3.95,Dauntless,2006
Anthony Capella,"Historical,Historical Fiction,Fiction,Romance,Cultural,Italy,Food and Drink,Food,Historical,War,World War II",432,3.72,The Wedding Officer: A Novel of Culinary Seduction,2007
Morgan Howell,"Fantasy,Fiction,Romance,Fantasy,Magic,Science Fiction Fantasy",432,3.7,Royal Destiny,2007
John Niven,"Fiction,Humor,Contemporary,Humor,Comedy",376,3.99,The Second Coming,2011
Dyan Sheldon,"Young Adult,Realistic Fiction,Romance,Contemporary,Womens Fiction,Chick Lit,Young Adult,Teen",352,3.26,The Crazy Things Girls Do for Love,2011
D.J. MacHale,"Fantasy,Young Adult,Fiction,Science Fiction",375,3.95,The Merchant of Death,2002
Sally Gardner,"Historical,Historical Fiction,Young Adult,Fantasy,Historical,Romance,European History,French Revolution",362,3.93,The Silver Blade,2009
Lynsay Sands,"Romance,Historical Romance,Romance,Historical,Historical,Medieval,Humor",394,3.97,Bliss,2001
Stephanie Nielson,"Nonfiction,Autobiography,Memoir,Biography,Inspirational",310,4.1,"Heaven Is Here: An Incredible Story of Hope, Triumph, and Everyday Joy",2012
Simone van der Vlugt,"Historical,Historical Fiction,Fiction,Historical",320,3.63,"Jacoba, dochter van Holland",2011
Louise Penny,"Mystery,Fiction",405,4.43,How the Light Gets In,2013
Rawi Hage,"Fiction,Cultural,Canada,Cultural,Lebanon,Mystery",289,3.62,Carnival,2013
Christopher Hitchens,"Nonfiction,Philosophy,Autobiography,Memoir,Biography,Writing,Essays,Religion",106,4.14,Mortality,2012
Ilyan Kei Lavanway,,14,5,Post Omerican Easter,2012
Michael Buckley,"Fantasy,Mystery,Fantasy,Fairy Tales,Fiction,Childrens,Middle Grade,Childrens,Young Adult,Adventure,Fantasy,Magic,Childrens,Juvenile",272,4.27,Once Upon a Crime,2007
Anna Carey,"Science Fiction,Dystopia,Young Adult,Romance,Science Fiction,Fantasy,Apocalyptic,Post Apocalyptic,Fiction,Adventure,Young Adult,Teen,Science Fiction,Apocalyptic",336,3.69,Eve,2011
William Claxton,"Music,Art,Photography,Music,Jazz,Art,Nonfiction",552,4.44,Jazz Life,2008
Laura Kaye,"Fantasy,Paranormal,Romance,Romance,Paranormal Romance,Fantasy,Fantasy,Mythology",400,4.27,South of Surrender,2013
James Schmidt,"History,Nonfiction,Audiobook,Philosophy",8,3.39,"Enlightenment: Reason, Tolerance, and Humanity",2007
Éric-Emmanuel Schmitt,"Fiction,Cultural,France,Academic,School,European Literature,French Literature",85,3.83,Monsieur Ibrahim et les fleurs du Coran,2001
Jo Graham,"Historical,Historical Fiction,Fantasy,Northern Africa,Egypt,Historical,Fiction,Historical Fiction,Historical Fantasy",479,4.04,Hand of Isis,2009
Kate Bloomfield,"Fantasy,Paranormal,Romance,Shapeshifters,Werewolves,Fantasy,Romance,Paranormal Romance,New Adult",219,3.42,Alpha Girl,2014
J.A. Redmerski,"New Adult,Romance,Contemporary,Romance,Contemporary Romance",405,4.01,The Edge of Always,2013
D.B. Jackson,"Fantasy,Historical,Historical Fiction,Mystery,Fantasy,Urban Fantasy,Historical,Fiction,Historical Fiction,Historical Fantasy,Fantasy,Paranormal",327,3.64,Thieftaker,2012
Wayne Thomas Batson,"Fantasy,Young Adult,Christian Fiction,Christian,Fiction,Adventure,Childrens,Middle Grade,Christian Fiction,Christian Fantasy,Fantasy,Magic,Fantasy,Dragons",350,3.98,The Door Within,2007
